,MentalHealth,DevType,YearlySalary
108,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack",60000
109,None of the above,"Developer, back-end",42000
111,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",62500
113,Anxiety,"Developer, back-end;Database administrator;Project manager;Security professional",130000
115,None of the above,"Developer, back-end",110000
117,None of the above,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end;Senior Executive (C-Suite, VP, etc.)",6000000
120,Depression,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Designer",85000
121,None of the above,"Engineer, data",804000
126,None of the above,"Engineer, data;Data or business analyst",100000
130,None of the above,"Developer, back-end",576000
132,Depression;Anxiety,"Developer, full-stack",98000
133,"Anxiety;Or, in your own words:","Developer, back-end",144000
135,None of the above,"Developer, back-end",98000
144,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, desktop or enterprise applications",45000
145,None of the above,"Developer, back-end",64000
153,None of the above,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer;Data or business analyst",200000
155,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",132000
158,None of the above,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;System administrator",86400
160,None of the above,"Developer, full-stack",36000
161,None of the above,Database administrator;DevOps specialist;System administrator,155000
163,None of the above,"Developer, back-end",100000
164,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.);System administrator",136000
165,Anxiety,"Developer, back-end;Developer, desktop or enterprise applications",264000
167,"Or, in your own words:;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Data or business analyst",43000
170,Depression,"Developer, back-end",400000
171,None of the above,"Developer, embedded applications or devices",130000
172,None of the above,"Developer, back-end",109000
183,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Cloud infrastructure engineer",94500
185,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, QA or test;Cloud infrastructure engineer",396000
187,None of the above,"Developer, desktop or enterprise applications",150000
188,Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end",540000
192,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, data;Developer, back-end",110000
193,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",70000
202,None of the above,"Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Scientist",50000
203,None of the above,"Engineer, data",49500
204,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",100000
205,Prefer not to say,"Developer, full-stack;Developer, back-end;Developer, QA or test",120000
207,None of the above,"Developer, full-stack",48000
210,None of the above,"Developer, front-end",100000
212,None of the above,"Developer, full-stack;Student",22000
214,None of the above,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Scientist",75000
222,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Security professional",147000
223,None of the above,"Developer, full-stack;Engineering manager",172000
224,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",47000
225,None of the above,"Developer, full-stack",101000
228,Prefer not to say,"Developer, full-stack;Developer, desktop or enterprise applications;Engineering manager;Database administrator;DevOps specialist",120000
233,None of the above,"Developer, full-stack",175000
237,None of the above,Engineering manager,175000
238,None of the above,"Developer, desktop or enterprise applications",58500
239,None of the above,"Developer, back-end;Project manager;Product manager;System administrator;Security professional",100000
243,None of the above,"Developer, embedded applications or devices;Data or business analyst",64000
246,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator",75000
247,None of the above,"Senior Executive (C-Suite, VP, etc.)",250000
253,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Designer",46000
254,Depression;Anxiety,DevOps specialist,96700
260,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator",720000
261,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack",22000
271,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",77000
272,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",150000
273,"Or, in your own words:","Engineer, site reliability;Developer, full-stack;Developer, back-end;Educator;Other",140000
274,None of the above,"Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer",100000
276,None of the above,"Developer, back-end",33500
277,None of the above,"Engineer, data;Developer, full-stack;Developer, back-end;DevOps specialist;Data or business analyst",88000
278,None of the above,"Developer, front-end;Developer, full-stack",67000
280,None of the above,"Developer, back-end",315000
282,None of the above,"Developer, embedded applications or devices",200000
284,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, mobile;Database administrator;Project manager;Product manager",33000
287,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",67000
288,Anxiety,"Data scientist or machine learning specialist;Developer, back-end",150000
290,None of the above,"Developer, full-stack",83000
292,None of the above,"Developer, full-stack",708000
294,Depression,Data scientist or machine learning specialist;Data or business analyst,32000
296,Depression;Anxiety,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end",90000
297,None of the above,"Developer, back-end",180000
299,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test",104000
302,None of the above,"Developer, full-stack",155000
304,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",21000
305,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",90000
307,None of the above,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer",206000
308,None of the above,"Developer, back-end",160000
311,None of the above,"Developer, full-stack;Project manager",46000
312,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end",45000
315,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, data;Developer, back-end",130000
317,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",155000
322,None of the above,"Engineer, site reliability;Developer, back-end;Cloud infrastructure engineer",110000
323,None of the above,"Developer, back-end;Developer, QA or test",70000
325,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",60000
330,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack",95000
331,Anxiety,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer",130000
335,Anxiety,"Developer, back-end",65000
337,None of the above,"Developer, desktop or enterprise applications",80000
340,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",50000
344,Anxiety,"Developer, back-end",240000
346,None of the above,"Engineer, data;Developer, full-stack",42000
347,Depression;Anxiety,"Developer, full-stack;Product manager",100000
348,Anxiety,"Developer, full-stack;Developer, mobile;Educator",75000
351,None of the above,"Developer, desktop or enterprise applications",40800
354,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",672000
356,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, mobile",120000
357,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, data;Developer, desktop or enterprise applications;Engineering manager",160000
359,Depression,"Developer, embedded applications or devices",175000
361,None of the above,"Developer, full-stack",150000
362,Prefer not to say,"Developer, back-end;Developer, embedded applications or devices",600000
363,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;DevOps specialist;Cloud infrastructure engineer;System administrator",120000
364,None of the above,"Developer, desktop or enterprise applications",210000
366,None of the above,"Engineer, data;Developer, back-end;Educator;Academic researcher;Data or business analyst",350000
367,None of the above,"Data scientist or machine learning specialist;Engineer, data;Data or business analyst",109000
368,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",70000
370,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator",150000
372,None of the above,"Engineer, data;Developer, back-end",100000
378,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, back-end;Database administrator;Cloud infrastructure engineer;System administrator;Security professional",13560
379,Depression,"Developer, desktop or enterprise applications;Academic researcher",144000
382,"Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",52800
383,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;System administrator",40000
385,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Security professional",160000
387,None of the above,"Developer, full-stack",124000
388,None of the above,"Developer, full-stack;Engineering manager;Cloud infrastructure engineer;Security professional",100000
390,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Developer, desktop or enterprise applications",42000
391,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Senior Executive (C-Suite, VP, etc.)",205000
393,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",51000
394,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",100000
395,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",65000
396,None of the above,"Developer, full-stack",20160
397,Anxiety,"Developer, full-stack",44000
403,None of the above,"Developer, front-end;Developer, full-stack",45000
404,Anxiety,"Developer, full-stack",76000
405,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",115000
406,None of the above,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Senior Executive (C-Suite, VP, etc.)",200000
410,None of the above,"Developer, back-end",720000
411,Depression,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",38400
419,Depression,"Developer, front-end",86000
422,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end;Cloud infrastructure engineer;System administrator",165000
423,Depression,"Developer, full-stack;Educator",350000
426,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Security professional",160000
427,None of the above,DevOps specialist,145000
429,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",80000
431,None of the above,"Developer, mobile",30000
432,Prefer not to say,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Designer",96300
433,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Educator;Database administrator;Developer, embedded applications or devices",50000
435,None of the above,"Developer, back-end",54000
436,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Designer",55000
439,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Engineering manager;Cloud infrastructure engineer",100400
440,None of the above,"Data scientist or machine learning specialist;Engineer, data",158000
441,"Depression;Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, mobile",350000
443,None of the above,"Developer, full-stack;Cloud infrastructure engineer;System administrator",90000
445,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",24000
446,None of the above,"Engineer, data",20000
447,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",150000
449,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Educator",120000
454,None of the above,"Developer, full-stack",70000
458,None of the above,"Engineer, data",910000
460,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",75000
466,None of the above,"Developer, back-end",34000
467,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",114000
468,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;DevOps specialist;Cloud infrastructure engineer",120000
469,None of the above,"Developer, back-end",80000
470,None of the above,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Developer, desktop or enterprise applications;Project manager",140000
473,Depression;Anxiety,"Developer, back-end",39600
474,None of the above,"Developer, front-end;Developer, full-stack",320000
475,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",150000
478,None of the above,"Developer, embedded applications or devices",60000
483,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",200000
488,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack;Developer, back-end",160000
490,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",110000
493,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",58800
494,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Educator;Developer, embedded applications or devices",60000
496,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",96000
498,None of the above,"Developer, back-end",300000
499,Anxiety,Other,300000
500,Depression,"Developer, front-end;Developer, full-stack;Developer, back-end",53000
507,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Developer, QA or test",72000
508,None of the above,"Developer, desktop or enterprise applications",130000
509,None of the above,"Data scientist or machine learning specialist;Developer, back-end",80000
510,None of the above,"Engineer, data;Developer, desktop or enterprise applications;Database administrator;Academic researcher",50000
512,Prefer not to say,"Developer, front-end;Developer, full-stack",100000
514,None of the above,"Developer, back-end;DevOps specialist",1740000
515,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;System administrator",70000
524,None of the above,"Developer, full-stack",48000
527,None of the above,"Engineer, site reliability",262000
528,Depression,"Developer, full-stack",40000
534,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",75000
536,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;DevOps specialist;System administrator",45000
539,None of the above,"Developer, full-stack",200000
543,None of the above,"Developer, back-end",90000
547,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",90000
549,None of the above,"Developer, back-end",576000
553,None of the above,"Developer, back-end",70000
554,None of the above,"Developer, full-stack",171000
556,None of the above,"Developer, front-end;Developer, full-stack",6240000
558,None of the above,"Developer, full-stack",155000
559,None of the above,"Developer, full-stack;Database administrator;DevOps specialist;Data or business analyst;System administrator",86000
560,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Blockchain",105000
561,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",45000
562,None of the above,"Developer, front-end;Developer, full-stack",78000
563,None of the above,"Developer, full-stack",68000
565,None of the above,"Developer, full-stack;Developer, back-end",187000
571,None of the above,"Developer, embedded applications or devices",78337
574,None of the above,"Developer, embedded applications or devices",115000
577,None of the above,"Developer, back-end;Cloud infrastructure engineer",215000
578,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, mobile;Developer, embedded applications or devices",109000
579,None of the above,"Developer, full-stack",65000
581,None of the above,"Developer, back-end;Educator",45000
583,None of the above,"Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator",65000
584,None of the above,"Developer, full-stack",160000
585,None of the above,"DevOps specialist;Other;Developer, embedded applications or devices",162373
586,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",65000
587,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, mobile;Developer, game or graphics",82000
589,None of the above,"Developer, back-end",55000
594,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",600000
595,None of the above,"Developer, full-stack;Engineering manager;Security professional",125000
596,None of the above,"Developer, back-end",200000
599,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Database administrator;Project manager;Data or business analyst;Designer;Senior Executive (C-Suite, VP, etc.);System administrator;Marketing or sales professional;Security professional",160000
602,None of the above,"Developer, front-end;Developer, back-end;Developer, QA or test;DevOps specialist;System administrator;Security professional",110000
604,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Data scientist or machine learning specialist;Developer, full-stack",250000
605,None of the above,"Developer, full-stack",57000
606,None of the above,"Developer, back-end",400000
609,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Other;Developer, embedded applications or devices",82000
610,Anxiety,"Developer, mobile",125000
611,None of the above,"Developer, back-end;Designer",150000
612,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Engineering manager;Developer, embedded applications or devices",180000
613,None of the above,"Developer, full-stack",90000
617,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics",140000
618,Depression,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile",95000
621,Depression;Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end",125000
622,Anxiety,"Developer, front-end;Developer, full-stack",26000
629,None of the above,"Developer, full-stack",145000
630,Prefer not to say,"Developer, full-stack;Developer, back-end;Developer, QA or test;DevOps specialist;Cloud infrastructure engineer",155000
632,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, back-end;Developer, QA or test",50000
636,None of the above,"Developer, full-stack;Engineering manager",85000
637,None of the above,"Developer, front-end;Developer, back-end",47500
638,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",3000
640,Depression,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, mobile;Database administrator;DevOps specialist;Cloud infrastructure engineer;Data or business analyst",90000
642,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, data",57500
643,None of the above,"Developer, back-end",150000
650,None of the above,"Developer, back-end",265000
652,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",456000
654,None of the above,"Developer, QA or test",35700
655,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",135000
657,None of the above,"Developer, full-stack",61200
660,None of the above,"Developer, full-stack",75000
663,None of the above,"Developer, full-stack",120000
665,Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end",120000
671,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",114000
672,None of the above,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",1800000
673,Prefer not to say,"Developer, desktop or enterprise applications;Developer, game or graphics",161000
674,None of the above,"Developer, full-stack;Developer, back-end;Developer, mobile;Cloud infrastructure engineer",175000
675,None of the above,"Developer, back-end",172000
678,None of the above,"Developer, full-stack",135000
683,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",60000
684,None of the above,"Developer, back-end",400000
689,None of the above,"Developer, full-stack",62000
693,None of the above,"Developer, back-end;Cloud infrastructure engineer",297000
698,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;DevOps specialist;Project manager;Designer;Product manager;System administrator;Security professional",65000
699,None of the above,"Developer, back-end",70000
702,None of the above,"Developer, front-end",200000
704,None of the above,"Developer, back-end",150000
707,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",75000
708,None of the above,"Developer, QA or test",33000
709,None of the above,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications;Developer, embedded applications or devices",125000
712,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, QA or test",85000
718,Prefer not to say,"Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;DevOps specialist;Developer, embedded applications or devices;Project manager;Product manager;System administrator;Marketing or sales professional;Security professional",51000
722,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",46800
723,None of the above,"Developer, back-end;Developer, mobile",103680
724,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, back-end",120000
727,Prefer not to say,"Developer, back-end;Cloud infrastructure engineer",192000
730,Depression;Anxiety,"Engineer, data;Engineering manager;Project manager;Cloud infrastructure engineer;Product manager",90000
734,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Senior Executive (C-Suite, VP, etc.)",225000
736,None of the above,"Developer, full-stack",220000
740,Depression;Anxiety,"Developer, back-end",105000
745,Depression;Anxiety,"Developer, back-end;Database administrator",336000
749,Depression,"Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;Data or business analyst",42000
751,Depression,"Engineer, data;Developer, back-end",213000
756,Depression;Anxiety,"Developer, back-end;Database administrator;Data or business analyst",35000
757,None of the above,"Developer, back-end",50000
758,Anxiety,"Engineer, site reliability;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, embedded applications or devices",460000
759,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Engineering manager",120000
763,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test",120000
764,None of the above,Scientist,120000
767,Depression,"Developer, back-end",60000
768,None of the above,"Developer, full-stack",1800000
769,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Cloud infrastructure engineer",75000
771,None of the above,"Developer, full-stack",432000
773,Prefer not to say,"Developer, full-stack",162000
774,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Cloud infrastructure engineer;Security professional,140000
775,Depression;Anxiety,"Developer, full-stack",115000
777,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",640000
780,None of the above,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer",250000
781,Prefer not to say,"Developer, front-end;Developer, embedded applications or devices;Developer, game or graphics",160000
784,None of the above,"Developer, back-end",160000
787,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, back-end",145
788,Depression;Anxiety,"Developer, back-end;Engineering manager",100000
790,None of the above,"Developer, QA or test",44500
792,Anxiety,"Developer, back-end;Developer, desktop or enterprise applications",210000
795,Anxiety,"Developer, back-end",88000
796,Anxiety,"Developer, full-stack",350000
799,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;System administrator",30000
800,None of the above,"Developer, embedded applications or devices",1200000
804,None of the above,"Developer, back-end",270000
806,None of the above,"Developer, back-end;Developer, game or graphics",142500
807,None of the above,"Engineer, data;Developer, back-end;Data or business analyst;Blockchain",600000
809,None of the above,Other,70000
811,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",780000
819,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",56300
820,None of the above,"Developer, full-stack;Developer, back-end",175000
821,None of the above,"Developer, full-stack;Developer, back-end;Educator;Designer",541752
823,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack;Database administrator;Project manager",70000
826,None of the above,"Engineer, site reliability;Developer, back-end;Cloud infrastructure engineer",100000
828,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.)",36000
832,None of the above,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",46000
