,MentalHealth,DevType,OrgSize,Country,RemoteWork,YearlySalary
183,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,94500.0
183,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Cloud infrastructure engineer,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,94500.0
183,I have an anxiety disorder,"Developer, back-end",500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,94500.0
183,I have an anxiety disorder,Cloud infrastructure engineer,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,94500.0
188,I have an anxiety disorder,"Developer, front-end",10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,540000.0
188,I have an anxiety disorder,"Developer, full-stack",10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,540000.0
188,I have an anxiety disorder,"Developer, back-end",10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,540000.0
193,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",70000.0
193,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",70000.0
254,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",DevOps specialist,500 to 999 employees,Canada,Fully remote,96700.0
254,I have an anxiety disorder,DevOps specialist,500 to 999 employees,Canada,Fully remote,96700.0
260,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end",20 to 99 employees,Sweden,"Hybrid (some remote, some in-person)",720000.0
260,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",20 to 99 employees,Sweden,"Hybrid (some remote, some in-person)",720000.0
260,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",20 to 99 employees,Sweden,"Hybrid (some remote, some in-person)",720000.0
260,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Database administrator,20 to 99 employees,Sweden,"Hybrid (some remote, some in-person)",720000.0
260,I have an anxiety disorder,"Developer, front-end",20 to 99 employees,Sweden,"Hybrid (some remote, some in-person)",720000.0
260,I have an anxiety disorder,"Developer, full-stack",20 to 99 employees,Sweden,"Hybrid (some remote, some in-person)",720000.0
260,I have an anxiety disorder,"Developer, back-end",20 to 99 employees,Sweden,"Hybrid (some remote, some in-person)",720000.0
260,I have an anxiety disorder,Database administrator,20 to 99 employees,Sweden,"Hybrid (some remote, some in-person)",720000.0
284,I have an anxiety disorder,"Developer, mobile",20 to 99 employees,Italy,"Hybrid (some remote, some in-person)",33000.0
284,I have an anxiety disorder,Database administrator,20 to 99 employees,Italy,"Hybrid (some remote, some in-person)",33000.0
284,I have an anxiety disorder,Project manager,20 to 99 employees,Italy,"Hybrid (some remote, some in-person)",33000.0
284,I have an anxiety disorder,Product manager,20 to 99 employees,Italy,"Hybrid (some remote, some in-person)",33000.0
288,I have an anxiety disorder,Data scientist or machine learning specialist,100 to 499 employees,United States of America,Fully remote,150000.0
288,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,United States of America,Fully remote,150000.0
294,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Data scientist or machine learning specialist,"1,000 to 4,999 employees",France,Full in-person,32000.0
294,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Data or business analyst,"1,000 to 4,999 employees",France,Full in-person,32000.0
296,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Data scientist or machine learning specialist,20 to 99 employees,Canada,"Hybrid (some remote, some in-person)",90000.0
296,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Engineer, data",20 to 99 employees,Canada,"Hybrid (some remote, some in-person)",90000.0
296,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",20 to 99 employees,Canada,"Hybrid (some remote, some in-person)",90000.0
296,I have an anxiety disorder,Data scientist or machine learning specialist,20 to 99 employees,Canada,"Hybrid (some remote, some in-person)",90000.0
296,I have an anxiety disorder,"Engineer, data",20 to 99 employees,Canada,"Hybrid (some remote, some in-person)",90000.0
296,I have an anxiety disorder,"Developer, back-end",20 to 99 employees,Canada,"Hybrid (some remote, some in-person)",90000.0
299,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",104000.0
299,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",104000.0
299,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",104000.0
299,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, QA or test",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",104000.0
304,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",21000.0
304,I have an anxiety disorder,"Developer, full-stack",10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",21000.0
312,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",45000.0
312,I have an anxiety disorder,"Developer, front-end",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",45000.0
325,I have an anxiety disorder,"Developer, front-end","1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Fully remote,60000.0
325,I have an anxiety disorder,"Developer, full-stack","1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Fully remote,60000.0
325,I have an anxiety disorder,"Developer, back-end","1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Fully remote,60000.0
331,I have an anxiety disorder,"Engineer, site reliability",100 to 499 employees,United States of America,Fully remote,130000.0
331,I have an anxiety disorder,DevOps specialist,100 to 499 employees,United States of America,Fully remote,130000.0
331,I have an anxiety disorder,Cloud infrastructure engineer,100 to 499 employees,United States of America,Fully remote,130000.0
335,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,65000.0
344,I have an anxiety disorder,"Developer, back-end","10,000 or more employees",United States of America,"Hybrid (some remote, some in-person)",240000.0
347,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",500 to 999 employees,United States of America,"Hybrid (some remote, some in-person)",100000.0
347,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Product manager,500 to 999 employees,United States of America,"Hybrid (some remote, some in-person)",100000.0
347,I have an anxiety disorder,"Developer, full-stack",500 to 999 employees,United States of America,"Hybrid (some remote, some in-person)",100000.0
347,I have an anxiety disorder,Product manager,500 to 999 employees,United States of America,"Hybrid (some remote, some in-person)",100000.0
348,I have an anxiety disorder,"Developer, full-stack",20 to 99 employees,United States of America,Fully remote,75000.0
348,I have an anxiety disorder,"Developer, mobile",20 to 99 employees,United States of America,Fully remote,75000.0
348,I have an anxiety disorder,Educator,20 to 99 employees,United States of America,Fully remote,75000.0
356,I have an anxiety disorder,"Developer, mobile","1,000 to 4,999 employees",United States of America,Fully remote,120000.0
359,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, embedded applications or devices","10,000 or more employees",United States of America,"Hybrid (some remote, some in-person)",175000.0
378,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end",2 to 9 employees,Italy,"Hybrid (some remote, some in-person)",13560.0
378,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",2 to 9 employees,Italy,"Hybrid (some remote, some in-person)",13560.0
378,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Database administrator,2 to 9 employees,Italy,"Hybrid (some remote, some in-person)",13560.0
378,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Cloud infrastructure engineer,2 to 9 employees,Italy,"Hybrid (some remote, some in-person)",13560.0
378,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",System administrator,2 to 9 employees,Italy,"Hybrid (some remote, some in-person)",13560.0
378,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Security professional,2 to 9 employees,Italy,"Hybrid (some remote, some in-person)",13560.0
379,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, desktop or enterprise applications",20 to 99 employees,Germany,Fully remote,144000.0
379,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Academic researcher,20 to 99 employees,Germany,Fully remote,144000.0
382,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,United States of America,Fully remote,52800.0
391,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,United States of America,Fully remote,205000.0
397,I have an anxiety disorder,"Developer, full-stack",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,44000.0
404,I have an anxiety disorder,"Developer, full-stack",100 to 499 employees,United States of America,Full in-person,76000.0
405,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",20 to 99 employees,United States of America,Fully remote,115000.0
411,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end",20 to 99 employees,Germany,"Hybrid (some remote, some in-person)",38400.0
411,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",20 to 99 employees,Germany,"Hybrid (some remote, some in-person)",38400.0
411,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",20 to 99 employees,Germany,"Hybrid (some remote, some in-person)",38400.0
411,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, desktop or enterprise applications",20 to 99 employees,Germany,"Hybrid (some remote, some in-person)",38400.0
419,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end",20 to 99 employees,United States of America,Fully remote,86000.0
423,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",United States of America,Fully remote,350000.0
423,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Educator,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Fully remote,350000.0
426,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end","1,000 to 4,999 employees",United States of America,Fully remote,160000.0
426,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Security professional,"1,000 to 4,999 employees",United States of America,Fully remote,160000.0
441,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, mobile","10,000 or more employees",United States of America,Fully remote,350000.0
441,I have an anxiety disorder,"Developer, mobile","10,000 or more employees",United States of America,Fully remote,350000.0
460,I have an anxiety disorder,"Developer, back-end","1,000 to 4,999 employees",United States of America,"Hybrid (some remote, some in-person)",75000.0
467,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",100 to 499 employees,Canada,Fully remote,114000.0
473,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",100 to 499 employees,Netherlands,"Hybrid (some remote, some in-person)",39600.0
473,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,Netherlands,"Hybrid (some remote, some in-person)",39600.0
475,I have an anxiety disorder,"Developer, back-end",500 to 999 employees,Australia,"Hybrid (some remote, some in-person)",150000.0
499,I have an anxiety disorder,Other (please specify):,"10,000 or more employees",United States of America,"Hybrid (some remote, some in-person)",300000.0
500,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end","10,000 or more employees",United States of America,Fully remote,53000.0
500,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack","10,000 or more employees",United States of America,Fully remote,53000.0
500,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end","10,000 or more employees",United States of America,Fully remote,53000.0
507,I have an anxiety disorder,"Developer, back-end",20 to 99 employees,United States of America,Fully remote,72000.0
507,I have an anxiety disorder,"Developer, QA or test",20 to 99 employees,United States of America,Fully remote,72000.0
528,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",40000.0
560,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",100 to 499 employees,United States of America,Fully remote,105000.0
560,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, desktop or enterprise applications",100 to 499 employees,United States of America,Fully remote,105000.0
560,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Blockchain,100 to 499 employees,United States of America,Fully remote,105000.0
578,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, mobile","1,000 to 4,999 employees",Canada,Fully remote,109000.0
578,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, embedded applications or devices","1,000 to 4,999 employees",Canada,Fully remote,109000.0
610,I have an anxiety disorder,"Developer, mobile","10,000 or more employees",United States of America,"Hybrid (some remote, some in-person)",125000.0
618,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",100 to 499 employees,United States of America,Fully remote,95000.0
618,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, desktop or enterprise applications",100 to 499 employees,United States of America,Fully remote,95000.0
618,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, mobile",100 to 499 employees,United States of America,Fully remote,95000.0
621,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end",500 to 999 employees,United States of America,Fully remote,125000.0
621,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",500 to 999 employees,United States of America,Fully remote,125000.0
621,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",500 to 999 employees,United States of America,Fully remote,125000.0
621,I have an anxiety disorder,"Developer, front-end",500 to 999 employees,United States of America,Fully remote,125000.0
621,I have an anxiety disorder,"Developer, full-stack",500 to 999 employees,United States of America,Fully remote,125000.0
621,I have an anxiety disorder,"Developer, back-end",500 to 999 employees,United States of America,Fully remote,125000.0
622,I have an anxiety disorder,"Developer, front-end",2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,26000.0
622,I have an anxiety disorder,"Developer, full-stack",2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,26000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Data scientist or machine learning specialist,500 to 999 employees,Germany,Fully remote,90000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end",500 to 999 employees,Germany,Fully remote,90000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",500 to 999 employees,Germany,Fully remote,90000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",500 to 999 employees,Germany,Fully remote,90000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, QA or test",500 to 999 employees,Germany,Fully remote,90000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, mobile",500 to 999 employees,Germany,Fully remote,90000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Database administrator,500 to 999 employees,Germany,Fully remote,90000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",DevOps specialist,500 to 999 employees,Germany,Fully remote,90000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Cloud infrastructure engineer,500 to 999 employees,Germany,Fully remote,90000.0
640,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Data or business analyst,500 to 999 employees,Germany,Fully remote,90000.0
652,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",2 to 9 employees,Germany,Fully remote,456000.0
665,I have an anxiety disorder,"Developer, front-end",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",120000.0
665,I have an anxiety disorder,"Developer, full-stack",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",120000.0
665,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",120000.0
712,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, front-end","10,000 or more employees",United States of America,Fully remote,85000.0
712,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, QA or test","10,000 or more employees",United States of America,Fully remote,85000.0
712,I have an anxiety disorder,"Developer, front-end","10,000 or more employees",United States of America,Fully remote,85000.0
712,I have an anxiety disorder,"Developer, QA or test","10,000 or more employees",United States of America,Fully remote,85000.0
730,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Engineer, data",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
730,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Engineering manager,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
730,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Project manager,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
730,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Cloud infrastructure engineer,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
730,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Product manager,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
730,I have an anxiety disorder,"Engineer, data",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
730,I have an anxiety disorder,Engineering manager,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
730,I have an anxiety disorder,Project manager,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
730,I have an anxiety disorder,Cloud infrastructure engineer,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
730,I have an anxiety disorder,Product manager,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Fully remote,90000.0
740,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end","10,000 or more employees",United States of America,"Hybrid (some remote, some in-person)",105000.0
740,I have an anxiety disorder,"Developer, back-end","10,000 or more employees",United States of America,"Hybrid (some remote, some in-person)",105000.0
745,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",10 to 19 employees,Spain,Fully remote,336000.0
745,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Database administrator,10 to 19 employees,Spain,Fully remote,336000.0
745,I have an anxiety disorder,"Developer, back-end",10 to 19 employees,Spain,Fully remote,336000.0
745,I have an anxiety disorder,Database administrator,10 to 19 employees,Spain,Fully remote,336000.0
749,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",20 to 99 employees,Spain,"Hybrid (some remote, some in-person)",42000.0
749,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, desktop or enterprise applications",20 to 99 employees,Spain,"Hybrid (some remote, some in-person)",42000.0
749,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, QA or test",20 to 99 employees,Spain,"Hybrid (some remote, some in-person)",42000.0
749,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Database administrator,20 to 99 employees,Spain,"Hybrid (some remote, some in-person)",42000.0
749,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Data or business analyst,20 to 99 employees,Spain,"Hybrid (some remote, some in-person)",42000.0
751,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Engineer, data","10,000 or more employees",Canada,"Hybrid (some remote, some in-person)",213000.0
751,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end","10,000 or more employees",Canada,"Hybrid (some remote, some in-person)",213000.0
756,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",20 to 99 employees,Spain,Fully remote,35000.0
756,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Database administrator,20 to 99 employees,Spain,Fully remote,35000.0
756,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Data or business analyst,20 to 99 employees,Spain,Fully remote,35000.0
756,I have an anxiety disorder,"Developer, back-end",20 to 99 employees,Spain,Fully remote,35000.0
756,I have an anxiety disorder,Database administrator,20 to 99 employees,Spain,Fully remote,35000.0
756,I have an anxiety disorder,Data or business analyst,20 to 99 employees,Spain,Fully remote,35000.0
758,I have an anxiety disorder,"Engineer, site reliability",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",460000.0
758,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",460000.0
758,I have an anxiety disorder,"Developer, desktop or enterprise applications",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",460000.0
758,I have an anxiety disorder,"Developer, QA or test",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",460000.0
758,I have an anxiety disorder,"Developer, embedded applications or devices",100 to 499 employees,United States of America,"Hybrid (some remote, some in-person)",460000.0
767,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",60000.0
774,I have an anxiety disorder,Cloud infrastructure engineer,"5,000 to 9,999 employees",United Kingdom of Great Britain and Northern Ireland,Fully remote,140000.0
774,I have an anxiety disorder,Security professional,"5,000 to 9,999 employees",United Kingdom of Great Britain and Northern Ireland,Fully remote,140000.0
775,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, full-stack",100 to 499 employees,United States of America,Fully remote,115000.0
775,I have an anxiety disorder,"Developer, full-stack",100 to 499 employees,United States of America,Fully remote,115000.0
788,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",100000.0
788,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Engineering manager,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",100000.0
788,I have an anxiety disorder,"Developer, back-end",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",100000.0
788,I have an anxiety disorder,Engineering manager,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, some in-person)",100000.0
792,I have an anxiety disorder,"Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",Canada,Fully remote,210000.0
792,I have an anxiety disorder,"Developer, desktop or enterprise applications","Just me - I am a freelancer, sole proprietor, etc.",Canada,Fully remote,210000.0
795,I have an anxiety disorder,"Developer, back-end","1,000 to 4,999 employees",United States of America,Fully remote,88000.0
796,I have an anxiety disorder,"Developer, full-stack","10,000 or more employees",United States of America,Fully remote,350000.0
843,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, back-end",20 to 99 employees,United States of America,Fully remote,165000.0
843,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)","Developer, desktop or enterprise applications",20 to 99 employees,United States of America,Fully remote,165000.0
